iter	Passed	Remaining
401	15304	22766
402	15348	22737
403	15404	22725
404	15459	22712
405	15496	22672
406	15536	22637
407	15572	22595
408	15611	22557
409	15650	22521
410	15694	22491
411	15733	22454
412	15772	22417
413	15807	22375
414	15845	22337
415	15879	22292
416	15910	22243
417	15940	22194
418	15973	22148
419	16004	22101
420	16034	22052
421	16070	22011
422	16112	21978
423	16149	21938
424	16185	21897
425	16220	21856
426	16252	21809
427	16284	21763
428	16320	21722
429	16351	21675
430	16383	21629
431	16417	21585
432	16450	21541
433	16482	21495
434	16512	21447
435	16539	21394
436	16572	21350
437	16600	21300
438	16635	21258
439	16677	21225
440	16712	21184
441	16751	21148
442	16787	21107
443	16830	21076
444	16866	21035
445	16895	20986
446	16928	20943
447	16958	20895
448	16990	20850
449	17019	20801
450	17050	20755
451	17082	20710
452	17112	20663
453	17142	20616
454	17172	20568
455	17202	20522
456	17245	20490
457	17277	20445
458	17308	20401
459	17339	20355
460	17371	20310
461	17401	20264
462	17434	20220
463	17463	20173
464	17495	20129
465	17529	20087
466	17564	20046
467	17594	20001
468	17622	19952
469	17678	19935
470	17746	19932
471	17804	19916
472	17856	19895
473	17892	19855
474	17926	19814
475	17960	19771
476	17997	19733
477	18027	19687
478	18059	19642
479	18095	19603
480	18163	19598
481	18218	19579
482	18272	19558
483	18325	19536
484	18369	19506
485	18421	19482
486	18469	19455
487	18535	19447
488	18594	19430
489	18716	19480
490	18805	19495
491	18869	19483
492	18936	19473
493	19013	19475
494	19082	19468
495	19154	19463
496	19241	19473
497	19327	19483
498	19381	19459
499	19438	19438
500	19495	19417
501	19547	19391
502	19600	19366
503	19657	19345
504	19710	19320
505	19759	19291
506	19799	19253
507	19833	19208
508	19867	19165
509	19900	19120
510	19932	19074
511	19972	19036
512	20015	19000
513	20066	18973
514	20126	18953
515	20175	18924
516	20223	18893
517	20273	18864
518	20320	18833
519	20366	18799
520	20409	18764
521	20459	18734
522	20503	18700
523	20543	18661
524	20587	18627
525	20638	18598
526	20691	18571
527	20753	18552
528	20811	18529
529	20866	18504
530	20913	18471
531	20960	18439
532	21003	18402
533	21051	18370
534	21091	18331
535	21137	18298
536	21180	18261
537	21222	18224
538	21262	18185
539	21305	18148
540	21346	18111
541	21381	18068
542	21421	18028
543	21463	17991
544	21510	17958
545	21551	17920
546	21583	17874
547	21613	17827
548	21661	17794
549	21706	17759
550	21759	17731
551	21798	17691
552	21847	17659
553	21899	17630
554	21945	17596
555	21994	17564
556	22048	17535
557	22102	17507
558	22148	17472
559	22192	17437
560	22249	17410
561	22305	17384
562	22355	17352
563	22404	17319
564	22450	17284
565	22494	17248
566	22543	17215
567	22599	17188
568	22758	17239
569	22825	17219
570	22875	17186
571	22910	17142
572	22946	17099
573	22982	17056
574	23024	17017
575	23061	16975
576	23099	16934
577	23137	16893
578	23175	16851
579	23217	16812
580	23252	16768
581	23286	16724
582	23325	16684
583	23361	16640
584	23391	16594
585	23421	16546
586	23456	16503
587	23490	16459
588	23532	16420
589	23580	16386
590	23638	16359
591	23696	16331
592	23729	16286
593	23761	16241
594	23794	16196
595	23828	16152
596	23861	16107
597	23892	16061
598	23927	16018
599	23960	15973
600	23991	15927
601	24023	15882
602	24060	15841
603	24091	15795
604	24121	15748
605	24154	15704
606	24185	15658
607	24217	15614
608	24247	15567
609	24284	15525
610	24318	15482
611	24350	15437
612	24384	15394
613	24418	15351
614	24451	15307
